tbprev,2451
tbprevhi,1895
tbprevlo,3170
hiv,15.9
hivhi,17.8
hivlo,14.2
art,23.1
arthi,17.1
artlo,29.1
rx,1161
rxhi,1763.9
rxlo,558.1
ariu12,4.2
eptb,13.4
hhtbOR,1.6
hhhivOR,2
tbhivOR,2.5
rxhivOR,6.6
